Pull #,Machine,Reward,UCB SCORES A,UCB SCORES B,UCB SCORES C,AVG REWARD,,,,Total reward,Number of pulls
1,A,0,1.4823,1.4823,1.4823,1.14,,,,,
2,B,0,1.4823,1.4823,1.4823,1,,,,,
3,C,0,1.4823,1.4823,1.4823,0,,,,,
4,A,0,1.1774,1.6651,1.6651,,,,,,
5,B,0,1.2686,1.2686,1.7941,,,,,,
6,C,0,1.3386,1.3386,1.3386,,,,,,
7,C,0,1.395,1.395,1.139,,,,,,
8,A,20,7.8441,1.442,1.1774,,,,,,
9,A,0,6.0481,1.4823,1.2103,,,,,,
10,A,0,4.9597,1.5174,1.239,,,,,,
11,A,0,4.2274,1.5485,1.2644,,,,,,
12,A,0,3.6997,1.5764,1.2871,,,,,,
13,A,5,3.9258,1.6015,1.3077,,,,,,
14,A,0,3.5436,1.6245,1.3264,,,,,,
15,A,1,3.3359,1.6456,1.3436,,,,,,
16,A,1,3.1646,1.6651,1.3596,,,,,,
17,A,2,3.1038,1.6832,1.3743,,,,,,
18,A,0,2.8976,1.7001,1.3881,,,,,,
19,A,2,2.8628,1.7159,1.4011,,,,,,
20,A,0,2.6987,1.7308,1.4132,,,,,,
21,A,0,2.5544,1.7449,1.4247,,,,,,
22,A,0,2.4266,1.7581,1.4355,,,,,,
23,A,0,2.3125,1.7707,1.4458,,,,,,
24,A,0,2.2174,1.7827,1.4556,,,,,,
25,A,0,2.1174,1.7941,1.4649,,,,,,
26,A,1,2.0809,1.805,1.4738,,,,,,
27,A,5,2.2292,1.8154,1.4823,,,,,,
28,A,0,2.147,1.8254,1.4905,,,,,,
29,A,0,2.0714,1.835,1.4983,,,,,,
30,A,0,2.0016,1.8442,1.5058,,,,,,
31,A,0,1.937,1.8531,1.5131,,,,,,
32,A,0,1.877,1.8616,1.52,,,,,,
33,A,0,1.8212,1.8699,1.5268,,,,,,
34,B,0,1.8233,1.5333,1.5333,,,,,,
35,A,5,1.9434,1.5396,1.5396,,,,,,
36,A,1,1.9221,1.5456,1.5456,,,,,,
37,A,0,1.8698,1.5515,1.5515,,,,,,
38,A,0,1.8206,1.5573,1.5573,,,,,,
39,A,0,1.7742,1.5628,1.5628,,,,,,
40,A,0,1.7305,1.5682,1.5682,,,,,,
41,A,5,1.8321,1.5734,1.5734,,,,,,
42,A,0,1.789,1.5785,1.5785,,,,,,
43,A,0,1.7482,1.5835,1.5835,,,,,,
44,A,0,1.7094,1.5883,1.5883,,,,,,
45,A,0,1.6726,1.593,1.593,,,,,,
46,A,0,1.6375,1.5976,1.5976,,,,,,
47,A,0,1.6041,1.6021,1.6021,,,,,,
48,A,0,1.5722,1.6065,1.6065,,,,,,
49,B,5,1.5734,2.645,1.6108,,,,,,
50,B,0,1.5745,2.2509,1.6149,,,,,,
51,,,1.14,1,0,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,,,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,,,,,,,,,,
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,,,,,,,,,,
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,,,,,,,,,,,
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,,,,,,,,,,,
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,,,,,,,,,,,
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
